"L","B"
0.189393939,0.041118421
0.200320513,0.041118421
0.631893382,0.084806743
0.641025641,0.082236842
0.809262948,0.133634868
1.108156028,0.102796053
1.124100719,0.102796053
2.079133065,0.169613487
2.083333333,0.164473684
2.743320611,0.236430921
2.755301339,0.203022204
3.656914894,0.226151316
3.862359551,0.226151316
4.65238764,0.272409539
4.679361979,0.295538651
7.169699367,0.372635691
7.269965278,0.344366776
9.46969697,0.411184211
9.521484375,0.400904605
13.49431818,0.48828125
13.671875,0.467722039
25.14022436,0.64504523
27.34375,0.665604441
27.57352941,0.616776316
28.44238281,0.598787007
49.0625,0.806949013
49.42908654,0.845497533
83.33333333,0.986842105
89.00669643,0.81979852
92.24759615,0.788959704
100.1674107,0.922594572
127.6041667,1.007401316
166.6666667,0.986842105
271.875,0.894325658
280.46875,0.922594572
303.3854167,1.197574013
307.03125,1.009971217
