[egf],20k,46k,187k,256k,1200k
0.01713749,0.04267487,,,,
0.03444448,0.07219977,,,,
0.07655431,0.1823194,,,,
0.1450889,0.30881,,,,
0.251269,0.3939354,,,,
0.4142728,0.538879,,,,
0.7255647,0.7396108,,,,
1.060153,0.7791709,,,,
1.819164,0.9324073,,,,
2.552526,0.914133,,,,
4.121284,0.9702964,,,,
6.136859,0.9190478,,,,
8.368795,1.026665,,,,
12.34485,1.02495,,,,
0.01030568,,0.02364097,,,
0.01970488,,0.04692846,,,
0.03960827,,0.08471032,,,
0.0804407,,0.1534647,,,
0.1199321,,0.2157494,,,
0.1586307,,0.2655414,,,
0.2536876,,0.3588522,,,
0.4057291,,0.4573236,,,
0.7248352,,0.6487842,,,
1.048583,,0.6883354,,,
1.797912,,0.7713876,,,
2.603329,,0.8935084,,,
4.117893,,0.8959837,,,
8.363058,,0.9647381,,,
12.46567,,1.004316,,,
0.01040797,,,0.01539294,,
0.02198537,,,0.03464131,,
0.02429037,,,0.03679492,,
0.08121683,,,0.1204458,,
0.1198718,,,0.1703361,,
0.1601539,,,0.228394,,
0.2509992,,,0.296916,,
0.405474,,,0.400557,,
0.7383156,,,0.5125622,,
1.027509,,,0.6552897,,
1.798446,,,0.7982227,,
2.550251,,,0.8336276,,
4.116105,,,0.8567631,,
8.277838,,,0.9399583,,
12.58767,,,0.9836827,,
0.01836968,,,,0.01177382,
0.02878571,,,,0.06791044,
0.06082663,,,,0.1181224,
0.1152153,,,,0.193007,
0.2055712,,,,0.2699022,
0.3524264,,,,0.3405689,
0.6354886,,,,0.4711433,
0.9669508,,,,0.5706022,
1.675933,,,,0.727976,
2.44816,,,,0.7448295,
4.034029,,,,0.8381671,
6.195363,,,,0.8757077,
8.192737,,,,0.9069215,
12.45058,,,,0.8949114,
0.0129597,,,,,0.01352529
0.02792615,,,,,0.0307273
0.05668559,,,,,0.05200417
0.08792646,,,,,0.08748945
0.131057,,,,,0.1250032
0.2224728,,,,,0.203918
0.3629502,,,,,0.2972467
0.654465,,,,,0.4278211
1.005847,,,,,0.5314174
1.760088,,,,,0.6516438
2.521322,,,,,0.7035714
4.067926,,,,,0.6936792
8.354267,,,,,0.869783
16.14775,,,,,0.9715206
