[egf],24k,43k,92k,120k,231k,447k
0.007969457,0.04603855,,,,,
0.01499326,0.07301927,,,,,
0.03099519,0.1115632,,,,,
0.06109528,0.1925054,,,,,
0.09514861,0.2426124,,,,,
0.1439648,0.3466809,,,,,
0.243969,0.4411135,,,,,
0.3945051,0.5066381,,,,,
0.686923,0.7147752,,,,,
1.079399,0.8130621,,,,,
1.847583,0.8535332,,,,,
2.618645,0.8901499,,,,,
4.197115,0.8997859,,,,,
8.121298,0.9460385,,,,,
16.01324,0.9961456,,,,,
0.008435078,,0.03062099,,,,
0.01632461,,0.05952891,,,,
0.03219274,,0.09614561,,,,
0.06589953,,0.1732334,,,,
0.09789267,,0.2310493,,,,
0.1495181,,0.337045,,,,
0.2533132,,0.4565311,,,,
0.3979881,,0.5683084,,,,
0.6938425,,0.6588865,,,,
1.831155,,0.8053533,,,,
2.570049,,0.8766595,,,,
5.068029,,0.9171307,,,,
8.196809,,0.9633833,,,,
0.01047828,,,0.04411135,,,
0.043951,,,0.1038544,,,
0.06717546,,,0.1443255,,,
0.159764,,,0.3158458,,,
0.2757842,,,0.4507495,,,
0.4673179,,,0.5528908,,,
0.8378847,,,0.6685225,,,
1.341291,,,0.7957174,,,
2.295071,,,0.8689507,,,
3.222072,,,0.9132763,,,
5.068438,,,0.9094219,,,
9.992324,,,0.9730192,,,
16.32263,,,0.9710921,,,
0.06716596,,,,0.1578158,,
0.04394744,,,,0.1115632,,
0.142679,,,,0.3023555,,
0.237226,,,,0.4141328,,
0.3870431,,,,0.5278373,,
0.4670442,,,,0.6087794,,
1.080119,,,,0.7494647,,
1.830193,,,,0.8554604,,
2.595465,,,,0.8381156,,
4.079464,,,,0.9113491,,
8.197306,,,,0.9576017,,
16.17389,,,,0.9441114,,
0.02105896,,,,0.07301927,,
0.06170198,,,,,0.1501071,
0.09792828,,,,,0.1963597,
0.142702,,,,,0.2869379,
0.244107,,,,,0.3871521,
0.3909656,,,,,0.466167,
0.7009451,,,,,0.5875803,
1.090977,,,,,0.6955032,
1.849451,,,,,0.7571734,
2.621134,,,,,0.7995718,
5.115771,,,,,0.9229122,
8.046807,,,,,0.9248394,
0.02985244,,,,,0.09421842,
0.007675014,,,,,,0.03640257
0.0149975,,,,,,0.04603855
0.02957265,,,,,,0.09229122
0.06112121,,,,,,0.1520343
0.09699085,,,,,,0.2137045
0.1440871,,,,,,0.2657388
0.2487781,,,,,,0.3794433
0.3946247,,,,,,0.4777302
0.687951,,,,,,0.5721628
1.177004,,,,,,0.6569593
1.832599,,,,,,0.7301927
2.572647,,,,,,0.7802998
4.082598,,,,,,0.8381156
8.050874,,,,,,0.8766595
16.01907,,,,,,0.9614561
